split,strategy,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
train,LONG_OR_FLAT_FILTERED,-1029.0,-51450.0,-2.117283950617284,100.86383916530541,-0.3332298374481411,-0.5034034969794858,-533.5555555555555,-2988.0,340,-0.17856611631712033,-171.0,-185.0,290,0.5967078189300411,0.43103448275862066,110.68,-91.19018404907976,-3.5482758620689654,0.9307723358449946,188.61724137931034,-207.0,7,8
train,HYBRID,-6622.0,-331100.0,-13.62551440329218,105.65036525052767,-2.0473032446762716,-2.7493717310214296,-3433.6296296296296,-7837.0,475,-0.43813061498400274,-212.0,-272.3,934,1.9218106995884774,0.4817987152034261,64.28888888888889,-73.91268191268192,-7.089935760171306,0.8137376237623762,66.83511777301928,-137.0,7,13
train,ORB,3193.0,159650.0,6.5699588477366255,154.9640671445406,0.6730261107109297,1.2802407256684705,1655.6296296296296,-1430.0,194,1.1577829577829577,-259.0,-276.3,701,1.4423868312757202,0.4664764621968616,126.29969418960245,-102.16353887399464,4.554921540656205,1.0837903797202613,145.87589158345222,-184.0,9,8
train,MR,-11323.0,-566150.0,-23.29835390946502,107.60277981580646,-3.437177952491464,-4.268512684253375,-5871.185185185185,-11626.0,485,-0.5050047467043854,-259.0,-285.45,906,1.8641975308641976,0.4602649006622517,61.34532374100719,-75.77823408624229,-12.497792494481237,0.6931768913938868,64.91280353200882,-169.0,7,9
train,INTRADAY_LONG,-5313.0,-265650.0,-10.932098765432098,248.40133289505448,-0.6986342859975552,-0.9664228383034815,-2754.8888888888887,-9792.0,342,-0.28134077705156135,-439.75,-701.25,486,1.0,0.5246913580246914,168.78039215686275,-211.14410480349346,-10.932098765432098,0.8901182991396426,375.0,-1022.0,9,5
train,FLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
val,LONG_OR_FLAT_FILTERED,1078.0,53900.0,8.764227642276422,103.68418958002123,1.3418420032376526,2.428329787763312,2208.5853658536585,-707.0,35,3.123883120019319,-139.29999999999998,-169.78,69,0.5609756097560976,0.463768115942029,118.1875,-75.11111111111111,15.623188405797102,1.3986686390532543,208.17391304347825,-177.0,8,5
val,HYBRID,-1179.0,-58950.0,-9.585365853658537,76.04053349961477,-2.0010770393513333,-2.5488236950441974,-2415.512195121951,-1665.0,112,-1.4507580751483191,-158.29999999999998,-213.48,214,1.7398373983739837,0.49065420560747663,52.8,-61.678899082568805,-5.509345794392523,0.8246318607764391,75.21028037383178,-165.0,8,5
val,ORB,1295.0,64750.0,10.528455284552846,133.36516646517117,1.253206145693159,2.3917483677003513,2653.1707317073174,-1041.0,30,2.548675054473888,-147.9,-268.26,153,1.2439024390243902,0.48366013071895425,110.66216216216216,-89.53246753246754,8.4640522875817,1.1878445024659123,198.718954248366,-172.0,6,6
val,MR,-2639.0,-131950.0,-21.45528455284553,88.99468136921739,-3.8271060491434925,-4.2119122975237655,-5406.731707317073,-2892.0,112,-1.8695476166379923,-206.4,-293.48,213,1.7317073170731707,0.460093896713615,46.5,-63.12280701754386,-12.389671361502348,0.6332684824902723,71.84976525821597,-180.0,8,7
val,INTRADAY_LONG,2117.0,105850.0,17.211382113821138,237.60948303205956,1.1498792778417473,2.1378931896020323,4337.268292682927,-1639.0,42,2.6462893793062396,-301.8,-492.64,123,1.0,0.5284552845528455,184.1076923076923,-169.82758620689654,17.211382113821138,1.2149238578680204,375.0,-570.0,7,8
val,FLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
test,LONG_OR_FLAT_FILTERED,991.0,49550.0,9.261682242990654,161.38097059083978,0.9110407942402244,2.2211914652497766,2333.9439252336447,-724.0,40,3.2236794547426033,-174.0,-184.94,68,0.6355140186915887,0.4264705882352941,174.3793103448276,-104.25641025641026,14.573529411764707,1.2437284800787014,180.44117647058823,-191.0,4,8
test,HYBRID,-3577.0,-178850.0,-33.429906542056074,103.39064153751224,-5.132798350824884,-7.425090865289714,-8424.336448598131,-3689.0,105,-2.2836368795332422,-209.79999999999998,-280.1,215,2.0093457943925235,0.4046511627906977,66.67816091954023,-73.265625,-16.63720930232558,0.6185753892087865,57.78139534883721,-128.0,6,9
test,ORB,-1954.0,-97700.0,-18.261682242990656,171.86833137381313,-1.6867285328400823,-3.6198490108491344,-4601.943925233645,-3187.0,88,-1.443973619464589,-263.7,-274.94,164,1.5327102803738317,0.4268292682926829,128.6,-117.80645161290323,-11.914634146341463,0.8216502373128879,117.21341463414635,-203.0,4,6
test,MR,-3227.0,-161350.0,-30.1588785046729,134.54662862443666,-3.558300634943618,-5.238955271676897,-7600.0373831775705,-3276.0,106,-2.3199137311286844,-277.09999999999997,-304.52,229,2.1401869158878504,0.42358078602620086,74.70103092783505,-79.3409090909091,-14.091703056768559,0.6918743435500812,52.60262008733624,-218.0,5,9
test,INTRADAY_LONG,338.0,16900.0,3.1588785046728973,330.85957659579003,0.15156170538371685,0.24638093522823376,796.0373831775702,-2647.0,55,0.3007319165763393,-469.4,-694.52,107,1.0,0.5233644859813084,243.67857142857142,-266.16,3.1588785046728973,1.0253982566877067,374.38317757009344,-1009.0,5,3
test,FLAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
