split,strategy,variant,family,params_id,params_json,cumulative_pnl_points,cumulative_pnl_hkd,sharpe_ratio,max_drawdown_points,num_trades,trades_per_day,win_rate,avg_pnl_per_trade,profit_factor,avg_holding_bars,score
val,LONG_OR_FLAT_FILTERED,LONG_OR_FLAT_FILTERED,E_DIRECTIONAL_LONG_FILTERS,long_or_flat_filtered_001,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_close_above_vwap"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",830.0,41500.0,0.748737706314399,-1377.0,99,0.8048780487804879,0.46464646464646464,8.383838383838384,1.1523494860499266,283.7171717171717,0.49135556563175864
val,LONG_OR_FLAT_FILTERED,LONG_OR_FLAT_FILTERED,E_DIRECTIONAL_LONG_FILTERS,long_or_flat_filtered_002,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 20, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_close_above_vwap"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",163.0,8150.0,0.14874348583203154,-1516.0,99,0.8048780487804879,0.43434343434343436,1.6464646464646464,1.0284915224611082,277.3131313131313,-0.1743531457478134
val,LONG_OR_FLAT_FILTERED,LONG_OR_FLAT_FILTERED,E_DIRECTIONAL_LONG_FILTERS,long_or_flat_filtered_003,"{""buffer_points"": 0, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_up_breakout"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",1090.0,54500.0,1.2240586593297096,-998.0,70,0.5691056910569106,0.5285714285714286,15.571428571428571,1.3238265002970886,285.48571428571427,1.163238861639754
val,LONG_OR_FLAT_FILTERED,LONG_OR_FLAT_FILTERED,E_DIRECTIONAL_LONG_FILTERS,long_or_flat_filtered_004,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_er"": 0.25, ""min_opening_return_points"": 20, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",1078.0,53900.0,1.3418420032376526,-707.0,69,0.5609756097560976,0.463768115942029,15.623188405797102,1.3986686390532543,208.17391304347825,1.3745152605619417
val,LONG_OR_FLAT_FILTERED,LONG_OR_FLAT_FILTERED,E_DIRECTIONAL_LONG_FILTERS,long_or_flat_filtered_005,"{""buffer_points"": 10, ""close_on_extreme"": false, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.005451382834876, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""max_daily_loss"": 200, ""max_rv"": 0.0029592908805379154, ""max_trades"": 1, ""min_opening_return_points"": 0, ""min_std_threshold"": 5, ""opening_window"": 30, ""require_close_above_vwap"": true, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",680.0,34000.0,0.6248069952292673,-1435.0,97,0.7886178861788617,0.44329896907216493,7.010309278350515,1.1292529937274283,279.5257731958763,0.3512157721164089
val,LONG_ONLY_ORB,LONG_ONLY_ORB,E_DIRECTIONAL_LONG_FILTERS,long_only_orb_001,"{""buffer_points"": 0, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",-311.0,-15550.0,-0.4535811217143547,-747.0,70,0.5691056910569106,0.4857142857142857,-4.442857142857143,0.916510067114094,203.71428571428572,-0.5534800277000588
val,LONG_ONLY_ORB,LONG_ONLY_ORB,E_DIRECTIONAL_LONG_FILTERS,long_only_orb_002,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",36.0,1800.0,0.05281101849947854,-860.0,67,0.5447154471544715,0.5074626865671642,0.5373134328358209,1.010775217000898,205.02985074626866,-0.04567403903891487
val,LONG_ONLY_ORB,LONG_ONLY_ORB,E_DIRECTIONAL_LONG_FILTERS,long_only_orb_003,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_two_bar_confirmation"": true, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",-468.0,-23400.0,-0.7208783463194843,-900.0,62,0.5040650406504065,0.46774193548387094,-7.548387096774194,0.8596701649175412,197.5,-0.8569770652527007
val,LONG_ONLY_ORB,LONG_ONLY_ORB,E_DIRECTIONAL_LONG_FILTERS,long_only_orb_004,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_volume_filter"": true, ""use_vwap"": true, ""volume_multiplier"": 1.0, ""volume_window"": 30, ""z_entry"": 2.0, ""z_exit"": 0.25}",-187.0,-9350.0,-0.27524136994878373,-878.0,67,0.5447154471544715,0.4925373134328358,-2.791044776119403,0.9456079115764979,205.26865671641792,-0.39451825384327716
val,ORB_TO_CLOSE,ORB_TO_CLOSE,E_DIRECTIONAL_LONG_FILTERS,orb_to_close_001,"{""buffer_points"": 0, ""disable_take_profit"": true, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""hold_to_close"": true, ""long_only"": true, ""max_daily_loss"": 200, ""max_trades"": 1, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 160, ""take_profit_points"": 9999, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",1090.0,54500.0,1.2240586593297096,-998.0,70,0.5691056910569106,0.5285714285714286,15.571428571428571,1.3238265002970886,285.48571428571427,1.163238861639754
