slippage,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
0,1222.0,61100.0,11.42056074766355,161.94024272791782,1.1195227225387332,2.80250474145938,2877.9813084112147,-694.0,40,4.146947130275525,-170.7,-186.64,68,0.6355140186915887,0.45588235294117646,167.0,-106.89189189189189,17.970588235294116,1.3089759797724398,181.47058823529412,-203.0,4,7
1,1125.0,56250.0,10.514018691588785,161.44625628842184,1.0338107322154206,2.572280029307436,2649.5327102803735,-704.0,40,3.763540781648258,-172.0,-182.94,68,0.6355140186915887,0.4411764705882353,170.53333333333333,-105.02631578947368,16.544117647058822,1.2818842395389627,180.4558823529412,-189.0,4,8
2,991.0,49550.0,9.261682242990654,161.38097059083978,0.9110407942402244,2.2211914652497766,2333.9439252336447,-724.0,40,3.2236794547426033,-174.0,-184.94,68,0.6355140186915887,0.4264705882352941,174.3793103448276,-104.25641025641026,14.573529411764707,1.2437284800787014,180.44117647058823,-191.0,4,8
5,480.0,24000.0,4.485981308411215,161.80417727226444,0.44011685464098466,1.0492788859621198,1130.467289719626,-1001.0,45,1.1293379517678581,-179.4,-190.94,68,0.6355140186915887,0.39705882352941174,180.92592592592592,-107.4390243902439,7.0588235294117645,1.108967082860386,179.86764705882354,-197.0,4,8
10,-1202.0,-60100.0,-11.233644859813085,134.67764304660835,-1.3241142305526687,-2.718355654470331,-2830.878504672897,-1565.0,104,-1.8088680541040876,-183.7,-200.94,68,0.6355140186915887,0.38235294117647056,142.30769230769232,-116.71428571428571,-17.676470588235293,0.7547939616483068,176.2058823529412,-207.0,4,8
