split,strategy,date,entry_time,exit_time,entry_datetime,exit_datetime,entry_price,exit_price,direction,pnl_points,pnl_hkd,holding_bars,exit_reason,strategy_at_entry,regime_at_entry
train,LONG_OR_FLAT_FILTERED,20170703,111700,162900,2017-07-03 11:17:00,2017-07-03 16:29:00,25693.0,25687.0,1,-8.0,-400.0,252,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170705,104200,162900,2017-07-05 10:42:00,2017-07-05 16:29:00,25335.0,25457.0,1,120.0,6000.0,287,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170707,132200,162900,2017-07-07 13:22:00,2017-07-07 16:29:00,25372.0,25325.0,1,-49.0,-2450.0,187,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170710,101800,162900,2017-07-10 10:18:00,2017-07-10 16:29:00,25549.0,25509.0,1,-42.0,-2100.0,311,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170711,101500,162900,2017-07-11 10:15:00,2017-07-11 16:29:00,25703.0,25953.0,1,248.0,12400.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170712,140200,162900,2017-07-12 14:02:00,2017-07-12 16:29:00,26025.0,26098.0,1,71.0,3550.0,147,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170713,110900,162900,2017-07-13 11:09:00,2017-07-13 16:29:00,26380.0,26370.0,1,-12.0,-600.0,260,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170718,161000,162900,2017-07-18 16:10:00,2017-07-18 16:29:00,26530.0,26544.0,1,12.0,600.0,19,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170719,101600,162900,2017-07-19 10:16:00,2017-07-19 16:29:00,26655.0,26671.0,1,14.0,700.0,313,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170724,101500,162900,2017-07-24 10:15:00,2017-07-24 16:29:00,26881.0,26875.0,1,-8.0,-400.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170726,152900,162900,2017-07-26 15:29:00,2017-07-26 16:29:00,26936.0,26916.0,1,-22.0,-1100.0,60,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170727,115600,162900,2017-07-27 11:56:00,2017-07-27 16:29:00,27047.0,27126.0,1,77.0,3850.0,213,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170731,102100,162900,2017-07-31 10:21:00,2017-07-31 16:29:00,27064.0,27220.0,1,154.0,7700.0,308,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170801,101500,162900,2017-08-01 10:15:00,2017-08-01 16:29:00,27387.0,27505.0,1,116.0,5800.0,314,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170802,112300,162900,2017-08-02 11:23:00,2017-08-02 16:29:00,27565.0,27542.0,1,-25.0,-1250.0,246,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170803,111400,162900,2017-08-03 11:14:00,2017-08-03 16:29:00,27494.0,27496.0,1,0.0,0.0,255,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170807,112300,162900,2017-08-07 11:23:00,2017-08-07 16:29:00,27601.0,27616.0,1,13.0,650.0,246,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170808,131700,162900,2017-08-08 13:17:00,2017-08-08 16:29:00,27675.0,27792.0,1,115.0,5750.0,192,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170809,151300,162900,2017-08-09 15:13:00,2017-08-09 16:29:00,27770.0,27680.0,1,-92.0,-4600.0,76,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170814,143600,162900,2017-08-14 14:36:00,2017-08-14 16:29:00,27153.0,27182.0,1,27.0,1350.0,113,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170816,101600,162900,2017-08-16 10:16:00,2017-08-16 16:29:00,27222.0,27373.0,1,149.0,7450.0,313,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170818,110900,162900,2017-08-18 11:09:00,2017-08-18 16:29:00,27122.0,27037.0,1,-87.0,-4350.0,260,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170821,130600,162900,2017-08-21 13:06:00,2017-08-21 16:29:00,27157.0,27134.0,1,-25.0,-1250.0,203,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170822,103600,162900,2017-08-22 10:36:00,2017-08-22 16:29:00,27443.0,27418.0,1,-27.0,-1350.0,293,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170825,102500,162900,2017-08-25 10:25:00,2017-08-25 16:29:00,27631.0,27906.0,1,273.0,13650.0,304,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170828,101500,143300,2017-08-28 10:15:00,2017-08-28 14:33:00,28032.0,27858.0,1,-176.0,-8800.0,198,stop_loss,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170829,144200,162900,2017-08-29 14:42:00,2017-08-29 16:29:00,27828.0,27729.0,1,-101.0,-5050.0,107,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170830,133500,162900,2017-08-30 13:35:00,2017-08-30 16:29:00,27880.0,27975.0,1,93.0,4650.0,174,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170908,140400,162900,2017-09-08 14:04:00,2017-09-08 16:29:00,27581.0,27664.0,1,81.0,4050.0,145,session_end,LONG_FILTERED,TREND
train,LONG_OR_FLAT_FILTERED,20170911,101500,162900,2017-09-11 10:15:00,2017-09-11 16:29:00,27943.0,27940.0,1,-5.0,-250.0,314,session_end,LONG_FILTERED,TREND
