split,strategy,cumulative_pnl_points,cumulative_pnl_hkd,sharpe_ratio,max_drawdown_points,num_trades,trades_per_day,win_rate,avg_pnl_per_trade,profit_factor,avg_holding_bars
train,HYBRID_ORIGINAL,-6622.0,-331100.0,-2.0473032446762716,-7837.0,934,1.9218106995884774,0.4817987152034261,-7.089935760171306,0.8137376237623762,66.83511777301928
train,ORB_FILTERED_HYBRID_BASIC,2739.0,136950.0,1.3512992957881953,-584.0,279,0.5740740740740741,0.4946236559139785,9.817204301075268,1.282225656877898,70.15412186379929
train,ORB_FILTERED_HYBRID_FILTERED,1433.0,71650.0,0.7721261397737951,-720.0,205,0.4218106995884774,0.47804878048780486,6.990243902439024,1.186831812255541,66.37560975609756
train,ORB,3193.0,159650.0,0.6730261107109297,-1430.0,701,1.4423868312757202,0.4664764621968616,4.554921540656205,1.0837903797202613,145.87589158345222
train,MR,-11323.0,-566150.0,-3.437177952491464,-11626.0,906,1.8641975308641976,0.4602649006622517,-12.497792494481237,0.6931768913938868,64.91280353200882
train,INTRADAY_LONG,-5313.0,-265650.0,-0.6986342859975552,-9792.0,486,1.0,0.5246913580246914,-10.932098765432098,0.8901182991396426,375.0
train,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
val,HYBRID_ORIGINAL,-1179.0,-58950.0,-2.0010770393513333,-1665.0,214,1.7398373983739837,0.49065420560747663,-5.509345794392523,0.8246318607764391,75.21028037383178
val,ORB_FILTERED_HYBRID_BASIC,328.0,16400.0,0.7721508400991979,-310.0,62,0.5040650406504065,0.43548387096774194,5.290322580645161,1.1314629258517035,70.19354838709677
val,ORB_FILTERED_HYBRID_FILTERED,101.0,5050.0,0.3651796614613363,-375.0,37,0.3008130081300813,0.43243243243243246,2.72972972972973,1.0676943699731904,66.05405405405405
val,ORB,1295.0,64750.0,1.253206145693159,-1041.0,153,1.2439024390243902,0.48366013071895425,8.4640522875817,1.1878445024659123,198.718954248366
val,MR,-2639.0,-131950.0,-3.8271060491434925,-2892.0,213,1.7317073170731707,0.460093896713615,-12.389671361502348,0.6332684824902723,71.84976525821597
val,INTRADAY_LONG,2117.0,105850.0,1.1498792778417473,-1639.0,123,1.0,0.5284552845528455,17.211382113821138,1.2149238578680204,375.0
val,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
test,HYBRID_ORIGINAL,-3577.0,-178850.0,-5.132798350824884,-3689.0,215,2.0093457943925235,0.4046511627906977,-16.63720930232558,0.6185753892087865,57.78139534883721
test,ORB_FILTERED_HYBRID_BASIC,-335.0,-16750.0,-0.9844651761388459,-702.0,60,0.5607476635514018,0.48333333333333334,-5.583333333333333,0.8541575968654767,69.98333333333333
test,ORB_FILTERED_HYBRID_FILTERED,-142.0,-7100.0,-0.5232647500724699,-425.0,35,0.32710280373831774,0.45714285714285713,-4.057142857142857,0.903728813559322,69.05714285714286
test,ORB,-1954.0,-97700.0,-1.6867285328400823,-3187.0,164,1.5327102803738317,0.4268292682926829,-11.914634146341463,0.8216502373128879,117.21341463414635
test,MR,-3227.0,-161350.0,-3.558300634943618,-3276.0,229,2.1401869158878504,0.42358078602620086,-14.091703056768559,0.6918743435500812,52.60262008733624
test,INTRADAY_LONG,338.0,16900.0,0.15156170538371685,-2647.0,107,1.0,0.5233644859813084,3.1588785046728973,1.0253982566877067,374.38317757009344
test,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
