strategy,params_json,opening_window,buffer_points,rolling_window,z_entry,z_exit,use_vwap,min_std_threshold,er_window,er_threshold,rv_window,extreme_vol_quantile,extreme_action,stop_loss_points,take_profit_points,max_trades,max_daily_loss,forced_exit_time,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,60,2.5,0.25,True,5,60,0.35,60,0.9,close,50,120,3,200,162800,-13487.0,-674350.0,-27.75102880658436,112.45862354327772,-3.9172978577399986,-5.821999437826634,-6993.259259259259,-13497.0,485,-0.5181343453552092,-200.0,-232.45,1378,2.8353909465020575,0.41146589259796806,60.01058201058201,-58.65802469135802,-9.787373004354137,0.7161408456632922,46.1233671988389,-180.0,9,10
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,30,2.0,0.25,True,5,60,0.35,60,0.9,close,50,80,3,200,162800,-12228.0,-611400.0,-25.160493827160494,100.4514908982099,-3.9761526047053644,-6.051011030195134,-6340.444444444444,-12237.0,485,-0.5181371614320867,-196.0,-223.15,1457,2.9979423868312756,0.4722031571722718,49.5,-60.501960784313724,-8.392587508579272,0.7358050298159191,26.53809196980096,-164.0,8,10
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,30,1.5,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-13451.0,-672550.0,-27.67695473251029,110.27530947674441,-3.9841922702700847,-5.395341144350679,-6974.592592592593,-13459.0,485,-0.5182103122514743,-230.5,-283.3,1435,2.9526748971193415,0.5979094076655053,40.354312354312356,-84.49033391915641,-9.373519163763067,0.7202080083203328,31.249477351916376,-172.0,12,9
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,30,2.0,0.25,True,5,60,0.35,60,0.9,close,50,120,3,200,162800,-12880.0,-644000.0,-26.502057613168724,104.43682545549443,-4.028340771761455,-6.015160593213674,-6678.518518518518,-12889.0,485,-0.5181564526742586,-199.75,-224.15,1456,2.9958847736625516,0.4581043956043956,51.85457271364318,-60.46751592356688,-8.846153846153847,0.7286535909157942,28.251373626373628,-164.0,8,10
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,60,1.5,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-14779.0,-738950.0,-30.409465020576132,119.53867955698965,-4.038318755659588,-5.81829956971417,-7663.185185185185,-14768.0,485,-0.5189047389751615,-269.0,-292.0,1412,2.905349794238683,0.5736543909348442,44.1395061728395,-84.50167224080268,-10.46671388101983,0.7075318609989709,48.30028328611898,-185.0,14,6
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,60,2.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-15791.0,-789550.0,-32.491769547325106,125.44112240350825,-4.111816295877135,-5.755432263833284,-8187.925925925927,-15801.0,485,-0.5181903630103112,-273.0,-288.0,1276,2.625514403292181,0.4890282131661442,57.58653846153846,-79.45468509984639,-12.37539184952978,0.6947124214596423,60.88009404388715,-180.0,9,11
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-15713.0,-785650.0,-32.33127572016461,124.76732707888878,-4.113601715820847,-5.83973174477271,-8147.481481481483,-15704.0,485,-0.5188156827229675,-272.75,-286.0,1367,2.8127572016460904,0.5237746891002194,52.81005586592179,-82.34615384615384,-11.494513533284564,0.7064362447454461,56.66861741038771,-180.0,14,9
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,120,2.0,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-13657.0,-682850.0,-28.10082304526749,107.40429505964529,-4.153341691189685,-5.200310124247283,-7081.407407407407,-14044.0,485,-0.5042300916695676,-268.0,-288.3,1131,2.3271604938271606,0.5048629531388152,51.24868651488617,-76.91756272401433,-12.075154730327144,0.6818033550792172,57.795755968169765,-184.0,9,11
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 1.5, ""z_exit"": 0.25}",30,10,30,1.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-14521.0,-726050.0,-29.878600823045268,114.16981236997357,-4.154408892825925,-5.595067096613832,-7529.407407407408,-14529.0,485,-0.5182330103522202,-263.0,-283.3,1434,2.950617283950617,0.5885634588563459,41.21800947867298,-84.7233676975945,-10.126220362622036,0.7055101502768257,33.1255230125523,-172.0,12,9
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.35,60,0.9,close,50,120,3,200,162800,-12556.0,-627800.0,-25.83539094650206,98.62166416059712,-4.158560092269298,-5.486957312370018,-6510.518518518519,-12675.0,485,-0.5136503762144788,-199.5,-233.6,1060,2.1810699588477367,0.38207547169811323,62.266666666666666,-57.93558282208589,-11.845283018867924,0.6676020543230794,50.45,-154.0,6,13
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,30,2.5,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-14882.0,-744100.0,-30.621399176954732,116.5582933442173,-4.170442344062319,-5.903183682729995,-7716.592592592592,-14897.0,485,-0.5179964148884065,-266.75,-289.0,1427,2.9362139917695473,0.5402943237561317,48.46952010376135,-80.88544891640866,-10.428871758934829,0.7151879353900329,43.58864751226349,-180.0,12,7
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 50, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,30,2.5,0.25,True,5,60,0.35,60,0.9,close,50,120,3,200,162800,-13593.0,-679650.0,-27.969135802469136,105.7314097333431,-4.19928446458934,-6.011588684450613,-7048.222222222223,-13620.0,485,-0.5174906183716756,-200.0,-226.3,1454,2.9917695473251027,0.4360385144429161,54.761829652996845,-59.351351351351354,-9.34869325997249,0.7186413313462494,34.352132049518566,-180.0,10,11
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,60,2.5,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-15543.0,-777150.0,-31.98148148148148,120.45103238556801,-4.2149101531265485,-6.127182760394935,-8059.333333333333,-15553.0,485,-0.5181851304142824,-267.75,-287.15,1298,2.6707818930041154,0.5115562403697997,52.60843373493976,-79.739336492891,-11.974576271186441,0.6920653789004457,55.875192604006166,-180.0,10,9
MR,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 30, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,30,2.5,0.25,True,5,60,0.35,60,0.9,close,80,120,3,200,162800,-15883.0,-794150.0,-32.681069958847736,122.9146511851465,-4.220781632957873,-5.884969595101074,-8235.62962962963,-15898.0,485,-0.518029288566463,-272.0,-289.0,1423,2.92798353909465,0.5249472944483485,50.72021419009371,-80.73723723723724,-11.161630358397751,0.7046177307470569,48.205200281096275,-180.0,12,11
