split,regime_at_entry,num_trades,pnl_points,win_rate,avg_trade_pnl
train,RANGE,776,-8690.0,0.47680412371134023,-11.198453608247423
train,TREND,158,2068.0,0.5063291139240507,13.08860759493671
val,RANGE,175,-1712.0,0.49142857142857144,-9.782857142857143
val,TREND,39,533.0,0.48717948717948717,13.666666666666666
test,RANGE,176,-2835.0,0.42045454545454547,-16.107954545454547
test,TREND,39,-742.0,0.3333333333333333,-19.025641025641026
