strategy,original_hybrid_test_pnl,supplementary_test_pnl,change_in_pnl_vs_original,original_hybrid_sharpe,supplementary_sharpe,change_in_sharpe_vs_original,original_hybrid_num_trades,supplementary_num_trades,change_in_num_trades,original_hybrid_profit_factor,supplementary_profit_factor,change_in_profit_factor,interpretation
ORB_FILTERED_HYBRID_BASIC,-3577.0,-335.0,3242.0,-5.132798350824884,-0.9844651761388459,4.148333174686038,215,60,-155,0.6185753892087865,0.8541575968654767,0.23558220765669013,Improves loss versus original HYBRID but remains negative.
ORB_FILTERED_HYBRID_FILTERED,-3577.0,-142.0,3435.0,-5.132798350824884,-0.5232647500724699,4.609533600752414,215,35,-180,0.6185753892087865,0.903728813559322,0.2851534243505355,Improves loss versus original HYBRID but remains negative.
