strategy,params_json,opening_window,buffer_points,rolling_window,z_entry,z_exit,use_vwap,min_std_threshold,er_window,er_threshold,rv_window,extreme_vol_quantile,extreme_action,stop_loss_points,take_profit_points,max_trades,max_daily_loss,forced_exit_time,extreme_vol_threshold,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.004687504506028113, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,60,0.9,close,80,120,3,200,162800,0.004687504506028113,-10633.0,-531650.0,-21.878600823045268,101.8702007908706,-3.409358361666354,-4.131896941278482,-5513.407407407408,-10859.0,481,-0.50772699211782,-231.25,-279.15,895,1.8415637860082306,0.46256983240223465,58.73913043478261,-72.96659707724426,-11.880446927374301,0.6957740837172041,64.43463687150837,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.00545138283487605, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,60,0.95,block_only,80,120,3,200,162800,0.00545138283487605,-10998.0,-549900.0,-22.62962962962963,104.89514974422093,-3.4246982290883645,-4.24185747457033,-5702.666666666667,-11226.0,481,-0.5079874101787517,-244.5,-279.9,901,1.853909465020576,0.4583795782463929,61.64648910411622,-75.01646090534979,-12.206437291897892,0.6983378133742937,65.35183129855716,-154.0,7,9
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.00627186515335333, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,120,0.9,close,80,120,3,200,162800,0.00627186515335333,-10665.0,-533250.0,-21.944444444444443,101.5613521346712,-3.430017901838419,-4.142695045588062,-5530.0,-10800.0,481,-0.5120370370370371,-231.5,-281.6,879,1.808641975308642,0.4653014789533561,57.210268948655255,-72.78632478632478,-12.133105802047782,0.6869128698919681,64.967007963595,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.00545138283487605, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,60,0.95,close,80,120,3,200,162800,0.00545138283487605,-10973.0,-548650.0,-22.578189300411523,104.00157144735232,-3.4462714233083296,-4.24017724973497,-5689.7037037037035,-11201.0,481,-0.5079639053391397,-244.5,-285.45,904,1.860082304526749,0.4579646017699115,60.42028985507246,-73.7438524590164,-12.138274336283185,0.6950843360102259,64.9358407079646,-137.0,7,13
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.007302276055988706, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,120,0.95,block_only,80,120,3,200,162800,0.007302276055988706,-10762.0,-538100.0,-22.144032921810698,101.08689655460898,-3.4774598567374966,-4.203944229216249,-5580.296296296296,-10897.0,481,-0.5120947321552992,-233.25,-278.15,887,1.8251028806584362,0.46223224351747466,60.02682926829268,-74.46947368421053,-12.13303269447576,0.6957566505526814,65.79594137542277,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 120, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.9, ""extreme_vol_threshold"": 0.00627186515335333, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,120,0.35,120,0.9,block_only,80,120,3,200,162800,0.00627186515335333,-11180.0,-559000.0,-23.004115226337447,103.32955976473684,-3.5341194615677005,-4.221836309324785,-5797.0370370370365,-11535.0,485,-0.5025606447366309,-259.75,-282.45,866,1.7818930041152263,0.4607390300230947,57.68170426065163,-73.53763440860214,-12.909930715935335,0.6730516157332943,66.15588914549653,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 120, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.007302276055988706, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,120,0.35,120,0.95,block_only,80,120,3,200,162800,0.007302276055988706,-11188.0,-559400.0,-23.020576131687243,103.1640850380075,-3.542321116468078,-4.296867084257979,-5801.185185185185,-11538.0,485,-0.5027894942958212,-256.25,-282.0,885,1.8209876543209877,0.4632768361581921,58.68292682926829,-74.5200845665962,-12.64180790960452,0.6825919201089423,65.62598870056497,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.007302276055988706, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,60,0.45,120,0.95,close,80,120,3,200,162800,0.007302276055988706,-11014.0,-550700.0,-22.662551440329217,101.1890815433158,-3.55529317615081,-4.303563212931724,-5710.962962962963,-11149.0,481,-0.512239928510446,-233.25,-278.15,887,1.8251028806584362,0.4588500563697858,59.5012285012285,-73.7050209205021,-12.417136414881623,0.6873775935965485,65.47914317925591,-137.0,7,12
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 120, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.00545138283487605, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,120,0.35,60,0.95,block_only,80,120,3,200,162800,0.00545138283487605,-11450.0,-572500.0,-23.559670781893004,104.63020566361786,-3.574476192458717,-4.418448679045458,-5937.037037037037,-11800.0,485,-0.5031387319522913,-244.5,-282.45,898,1.8477366255144032,0.4599109131403118,60.232445520581116,-75.20910973084887,-12.750556792873052,0.6847987667235589,65.24276169265033,-154.0,7,9
HYBRID,"{""buffer_points"": 10, ""er_threshold"": 0.45, ""er_window"": 120, ""extreme_action"": ""block_only"", ""extreme_vol_quantile"": 0.95, ""extreme_vol_threshold"": 0.007302276055988706, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 120, ""rv_window"": 120, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.5, ""z_exit"": 0.25}",30,10,120,2.5,0.25,True,5,120,0.45,120,0.95,block_only,80,120,3,200,162800,0.007302276055988706,-11299.0,-564950.0,-23.24897119341564,103.20352102286385,-3.5760986876942944,-4.313864909449714,-5858.740740740741,-11474.0,485,-0.5106101395102616,-256.25,-282.45,884,1.8189300411522633,0.4626696832579186,58.58924205378973,-74.54968287526427,-12.781674208144796,0.6795700754353128,65.59049773755656,-169.0,7,12
