slippage,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
0,-2669.0,-133450.0,-24.94392523364486,98.95318425908903,-4.001614908149934,-5.879982504532455,-6285.869158878504,-2793.0,105,-2.2505797203288593,-181.4,-268.1,214,2.0,0.42990654205607476,67.06521739130434,-73.65833333333333,-12.47196261682243,0.6980427650186672,58.299065420560744,-124.0,7,9
1,-3143.0,-157150.0,-29.373831775700936,102.42148611594077,-4.55270804273885,-6.589632792724386,-7402.205607476636,-3261.0,105,-2.2699189228692536,-203.49999999999997,-274.1,214,2.0,0.411214953271028,68.23863636363636,-73.184,-14.686915887850468,0.6564276344556187,58.004672897196265,-126.0,6,9
2,-3577.0,-178850.0,-33.429906542056074,103.39064153751224,-5.132798350824884,-7.425090865289714,-8424.336448598131,-3689.0,105,-2.2836368795332422,-209.79999999999998,-280.1,215,2.0093457943925235,0.4046511627906977,66.67816091954023,-73.265625,-16.63720930232558,0.6185753892087865,57.78139534883721,-128.0,6,9
5,-4601.0,-230050.0,-43.0,103.35896415743588,-6.604205487343368,-9.513259448595338,-10836.0,-4695.0,105,-2.307987220447284,-206.1,-283.46,214,2.0,0.3878504672897196,63.30120481927711,-75.8076923076923,-21.5,0.5331303906646372,56.83644859813084,-134.0,4,11
10,-7127.0,-356350.0,-66.60747663551402,108.0634646696225,-9.784629014471387,-12.880696703836923,-16785.084112149532,-6994.0,105,-2.3999262385115143,-274.59999999999997,-300.28,219,2.046728971962617,0.3515981735159817,55.714285714285715,-80.97163120567376,-32.54337899543379,0.37575545239555047,52.99543378995434,-145.0,5,12
