split,strategy,cumulative_pnl_points,cumulative_pnl_hkd,sharpe_ratio,max_drawdown_points,num_trades,trades_per_day,win_rate,avg_pnl_per_trade,profit_factor,avg_holding_bars
train,HYBRID_ORIGINAL,-6622.0,-331100.0,-2.0473032446762716,-7837.0,934,1.9218106995884774,0.4817987152034261,-7.089935760171306,0.8137376237623762,66.83511777301928
train,ORB_FILTERED_HYBRID_FILTERED,1433.0,71650.0,0.7721261397737951,-720.0,205,0.4218106995884774,0.47804878048780486,6.990243902439024,1.186831812255541,66.37560975609756
train,ORB_CONFIRMED_HYBRID_BALANCED,858.0,42900.0,0.5313313514238842,-785.0,158,0.32510288065843623,0.46835443037974683,5.430379746835443,1.1407018694653985,71.29113924050633
train,ORB_CONFIRMED_HYBRID_STRICT,324.0,16200.0,0.8287310327633124,-90.0,6,0.012345679012345678,0.6666666666666666,54.0,2.810055865921788,67.5
train,INTRADAY_LONG,-5313.0,-265650.0,-0.6986342859975552,-9792.0,486,1.0,0.5246913580246914,-10.932098765432098,0.8901182991396426,375.0
train,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
val,HYBRID_ORIGINAL,-1179.0,-58950.0,-2.0010770393513333,-1665.0,214,1.7398373983739837,0.49065420560747663,-5.509345794392523,0.8246318607764391,75.21028037383178
val,ORB_FILTERED_HYBRID_FILTERED,101.0,5050.0,0.3651796614613363,-375.0,37,0.3008130081300813,0.43243243243243246,2.72972972972973,1.0676943699731904,66.05405405405405
val,ORB_CONFIRMED_HYBRID_BALANCED,613.0,30650.0,1.7982454086955761,-345.0,26,0.21138211382113822,0.5384615384615384,23.576923076923077,1.7596034696406444,72.65384615384616
val,ORB_CONFIRMED_HYBRID_STRICT,164.0,8200.0,1.7785063945803241,0.0,2,0.016260162601626018,1.0,82.0,inf,32.0
val,INTRADAY_LONG,2117.0,105850.0,1.1498792778417473,-1639.0,123,1.0,0.5284552845528455,17.211382113821138,1.2149238578680204,375.0
val,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
test,HYBRID_ORIGINAL,-3577.0,-178850.0,-5.132798350824884,-3689.0,215,2.0093457943925235,0.4046511627906977,-16.63720930232558,0.6185753892087865,57.78139534883721
test,ORB_FILTERED_HYBRID_FILTERED,-142.0,-7100.0,-0.5232647500724699,-425.0,35,0.32710280373831774,0.45714285714285713,-4.057142857142857,0.903728813559322,69.05714285714286
test,ORB_CONFIRMED_HYBRID_BALANCED,-177.0,-8850.0,-0.6167814531789689,-530.0,24,0.22429906542056074,0.4166666666666667,-7.375,0.8359592215013901,77.41666666666667
test,ORB_CONFIRMED_HYBRID_STRICT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
test,INTRADAY_LONG,338.0,16900.0,0.15156170538371685,-2647.0,107,1.0,0.5233644859813084,3.1588785046728973,1.0253982566877067,374.38317757009344
test,FLAT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
