strategy,params_json,opening_window,buffer_points,rolling_window,z_entry,z_exit,use_vwap,min_std_threshold,er_window,er_threshold,rv_window,extreme_vol_quantile,extreme_action,stop_loss_points,take_profit_points,max_trades,max_daily_loss,forced_exit_time,cumulative_pnl_points,cumulative_pnl_hkd,avg_daily_pnl,std_daily_pnl,sharpe_ratio,sortino_ratio,annualized_pnl,max_drawdown_points,max_drawdown_duration_days,calmar_ratio,var_95,var_99,num_trades,trades_per_day,win_rate,avg_winner,avg_loser,avg_pnl_per_trade,profit_factor,avg_holding_bars,max_single_trade_loss,max_consecutive_wins,max_consecutive_losses
ORB,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,180,2,200,162800,449.0,22450.0,0.9238683127572016,145.83652889824202,0.10056434357816901,0.24503520845377721,232.8148148148148,-1806.0,208,0.12891185759402812,-190.0,-208.6,798,1.6419753086419753,0.39473684210526316,129.4126984126984,-83.46997929606626,0.5626566416040101,1.011137017561266,116.78571428571429,-147.0,7,9
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 60, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",60,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,2,200,162800,147.0,7350.0,0.30246913580246915,133.7929508031438,0.035887904757407545,0.06734190342934329,76.22222222222223,-2171.0,287,0.035109268642202776,-193.75,-279.15,561,1.154320987654321,0.45811051693404636,113.52140077821012,-95.48684210526316,0.2620320855614973,1.0050640760644896,134.19429590017825,-186.0,7,10
ORB,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,120,3,200,162800,-41.0,-2050.0,-0.08436213991769548,158.23642458116746,-0.008463332366700414,-0.016751545132332284,-21.25925925925926,-2114.0,223,-0.010056414029923964,-260.0,-276.3,964,1.9835390946502058,0.49377593360995853,104.71218487394958,-102.43121149897331,-0.04253112033195021,0.9991780931761687,115.52697095435684,-211.0,10,8
ORB,"{""buffer_points"": 5, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 60, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",60,5,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,2,200,162800,-37.0,-1850.0,-0.07613168724279835,141.22194408442584,-0.008557827721835191,-0.015695274905101936,-19.185185185185187,-2671.0,292,-0.007182772439230695,-247.0,-271.45,622,1.2798353909465021,0.4405144694533762,120.04014598540147,-94.89337175792507,-0.0594855305466238,0.9988763362487852,139.2636655948553,-186.0,6,12
ORB,"{""buffer_points"": 5, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,5,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,120,2,200,162800,-85.0,-4250.0,-0.1748971193415638,133.4871562897318,-0.020799047443710843,-0.04621445621892143,-44.074074074074076,-2509.0,338,-0.01756639062338544,-189.0,-212.3,861,1.771604938271605,0.43205574912891986,108.05645161290323,-82.54508196721312,-0.09872241579558652,0.9978898763715803,92.48780487804878,-147.0,6,9
ORB,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,120,2,200,162800,-157.0,-7850.0,-0.3230452674897119,146.67426763890197,-0.03496308331731235,-0.05699408901463916,-81.4074074074074,-2154.0,284,-0.037793596753671034,-260.0,-276.3,800,1.646090534979424,0.485,107.61082474226804,-101.97080291970804,-0.19625,0.9962538773562396,121.36125,-179.0,10,9
ORB,"{""buffer_points"": 5, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,5,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,180,2,200,162800,-183.0,-9150.0,-0.3765432098765432,146.53052947151062,-0.040793124605355176,-0.09930724870079516,-94.88888888888889,-2076.0,218,-0.04570755726825091,-191.0,-212.3,816,1.6790123456790123,0.38480392156862747,131.3375796178344,-82.51593625498008,-0.22426470588235295,0.9955821644979842,116.35171568627452,-147.0,7,9
ORB,"{""buffer_points"": 10, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 2, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 120, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,10,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,120,2,200,162800,-192.0,-9600.0,-0.3950617283950617,132.97940425097647,-0.04716076561209301,-0.10499568803693256,-99.55555555555554,-2163.0,447,-0.04602660913340524,-188.0,-206.3,845,1.7386831275720165,0.4319526627218935,107.55616438356165,-82.35908141962422,-0.2272189349112426,0.9951330798479088,93.1207100591716,-147.0,6,9
ORB,"{""buffer_points"": 20, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 80, ""take_profit_points"": 80, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,20,60,2.0,0.25,True,5,60,0.35,60,0.9,close,80,80,3,200,162800,-222.0,-11100.0,-0.4567901234567901,127.78798963128482,-0.056744913422815894,-0.11764097549760821,-115.1111111111111,-2558.0,408,-0.04500043436712709,-186.0,-266.15,1109,2.2818930041152266,0.5049594229035167,79.38035714285714,-81.3752276867031,-0.20018034265103696,0.9950307778399552,66.1668169522092,-145.0,11,8
ORB,"{""buffer_points"": 5, ""er_threshold"": 0.35, ""er_window"": 60, ""extreme_action"": ""close"", ""extreme_vol_quantile"": 0.9, ""forced_exit_time"": 162800, ""max_daily_loss"": 200, ""max_trades"": 3, ""min_std_threshold"": 5, ""opening_window"": 30, ""rolling_window"": 60, ""rv_window"": 60, ""stop_loss_points"": 120, ""take_profit_points"": 180, ""use_vwap"": true, ""z_entry"": 2.0, ""z_exit"": 0.25}",30,5,60,2.0,0.25,True,5,60,0.35,60,0.9,close,120,180,3,200,162800,-320.0,-16000.0,-0.6584362139917695,169.2855533043193,-0.06174390344896659,-0.11774290931509815,-165.92592592592592,-2936.0,194,-0.05651427994752246,-263.75,-287.0,870,1.7901234567901234,0.4367816091954023,127.78157894736842,-99.74897959183673,-0.367816091954023,0.9934529533318329,140.5494252873563,-184.0,9,8
